method,modality,seed,trainable_params,mAP,batch,overall_accuracy,macro_f1
houlsby,s2_full,42,1204243,0.4927403749268424,bigearthnet_houlsby,,
houlsby,s2_full,123,1204243,0.48149081671198807,bigearthnet_houlsby,,
houlsby,s2_full,456,1204243,0.4978507373217504,bigearthnet_houlsby,,
houlsby,rgb,42,1204243,0.4531115837631405,bigearthnet_houlsby,,
houlsby,rgb,123,1204243,0.45833030664576285,bigearthnet_houlsby,,
houlsby,rgb,456,1204243,0.45586330783132295,bigearthnet_houlsby,,
linear_probe,s2_full,42,14611,0.3577910352311462,bigearthnet_linear_probe,,
linear_probe,s2_full,123,14611,0.36060724095669094,bigearthnet_linear_probe,,
linear_probe,s2_full,456,14611,0.3548117403063273,bigearthnet_linear_probe,,
linear_probe,rgb,42,14611,0.3344380967778699,bigearthnet_linear_probe,,
linear_probe,rgb,123,14611,0.3342925106548645,bigearthnet_linear_probe,,
linear_probe,rgb,456,14611,0.33631333090365284,bigearthnet_linear_probe,,
lora_r8,s2_full,42,162067,0.35816174733835854,bigearthnet_lora,,
lora_r8,s2_full,123,162067,0.3606248769274641,bigearthnet_lora,,
lora_r8,s2_full,456,162067,0.35453910046511306,bigearthnet_lora,,
lora_r8,rgb,42,162067,0.3345881658350605,bigearthnet_lora,,
lora_r8,rgb,123,162067,0.334963675104397,bigearthnet_lora,,
lora_r8,rgb,456,162067,0.3363336299381265,bigearthnet_lora,,
full_finetune,s2_full,42,86244874,,full_finetune_20260421_1202,0.8685185185185185,0.8624744043404347
lora_split_qkv_r8,s2_full,42,597514,,lora_ablation_20260421_1240,0.7092592592592593,0.6954548798923202
lora_split_qkv_r8,s2_full,123,597514,,lora_ablation_20260421_1240,0.707962962962963,0.6927730839397701
lora_split_qkv_r8,s2_full,456,597514,,lora_ablation_20260421_1240,0.7037037037037037,0.6891710205740561
lora_split_qkv_r8,rgb,42,597514,,lora_ablation_20260421_1240,0.4968518518518519,0.4767751499220706
lora_split_qkv_r8,rgb,123,597514,,lora_ablation_20260421_1240,0.4922222222222222,0.4707903796678511
lora_split_qkv_r8,rgb,456,597514,,lora_ablation_20260421_1240,0.5035185185185185,0.4834247426590673
